258.75,245.75,252.75,242.5,
313.25,227.75,245,267.5,
192.5,250.75,221.25,250,
214.25,201.25,267.25,211,
226.5,237,237,279,
337.5,266,276.25,270.5,
159.75,186,183.75,273,
231.25,225,231.25,206.5,
198.75,264.75,249.75,239.75,
288.5,336,300.25,311.75,
221.25,249,218.25,231,
228.5,219,235.75,249,
212,193.5,211.75,205.5,
211,224.25,223.5,219.75,
263,284.75,273.25,264,
186.25,212,181,199.5,
226,230.75,234.75,208.75,
249.5,285,292.25,245.75,
309.75,244.75,293.25,310,
231.75,238.75,232.25,228.75,
240.75,202.75,257,255,
282,268,236,277.75,
226,265,171.25,216.5,
230.25,197,223,260.5,
231,242.75,232,153.25,
190,219,174.25,201,
189.25,279.25,271.5,268.5,
224.75,219.25,258,201,
183.25,249.5,262,226.75,
290,234.5,257.25,293,
