197,144.5,173.25,
187.5,206,237.75,
224.75,216.75,240.5,
231.5,191.5,231.25,
220.75,217,199.5,
147,245,201.25,
197.25,223.75,192.25,
231.5,235.25,188,
207,206.75,232.75,
206,231.5,222.75,
206.5,199.25,181.25,
204.5,194.5,218.75,
187.25,191,170.25,
204,208.25,217.75,
188.5,218.75,184.75,
183.5,201.25,232.75,
177,191.5,188.5,
195.25,206.25,207.25,
231.75,211,189,
221.25,168,166.5,
209.5,195.75,173.5,
176.5,178.25,203.25,
207.75,160.5,143.25,
217.5,183.25,243,
200.75,226.25,171,
232,178.25,214.5,
155.5,180.75,212.75,
180.5,235,249,
203.75,198.5,159.75,
190.75,178.25,181.75,
