332,331.5,310,284,326.25,
292,275,239.75,333,324.25,
313.5,316.5,274.25,223.25,287.25,
295,293.25,275.5,297,292,
338,265.75,303,241,317.25,
307,285.25,316.5,308.75,286,
326.25,289,256.75,297.25,319,
257.75,286.75,281.75,298,317.75,
266.25,317.75,300.75,278.25,286.25,
284,273,294.5,268,323.25,
236,337,276.5,384.5,280.5,
309,268.5,310,269.25,322.25,
330.25,288,304.75,377,256,
252.25,299.75,294.5,293,333.5,
315,277.25,288.25,333.25,295.75,
288,326.75,268,275,327.25,
260.75,282.25,334.75,360.25,301.75,
344.5,311.25,330,199,304,
307,325,297.5,273.5,262,
305.75,304.75,320.25,325,283.75,
355.5,345.5,272.5,244.75,304.5,
281,272.75,307,298.75,379.5,
302.75,351,307.75,304.5,325.75,
294.75,321.5,284.25,276.5,277.75,
349,313,280.25,276,280.5,
288.25,295.5,315.5,322.5,255.75,
290.25,335.75,324.75,265.5,337.75,
305,326.25,259.5,292.75,255,
334,291.75,280.25,281.25,352.25,
276,318.25,329.25,284,338.75,
