138.25,81,123,80.25,110.5,86,
160.75,124.5,183.5,139,153.25,150.5,
219.25,202.75,217.5,216.75,154,168.5,
209,198.75,214.25,190.5,184.25,171.5,
136.5,144.25,221.75,152.75,202.5,192.5,
188,209.5,202.25,195.25,206.5,189.5,
52.5,85,77,58.25,82.75,63.5,
125.25,138,155,148.5,106.75,135.25,
199,154.75,151.75,171.5,178.25,185.5,
160.75,162.25,182.25,143.5,164.75,149.5,
153.25,159.5,151,165,170.75,162.75,
241.75,213.75,218.5,232.25,241.5,212.75,
131.75,140,132.75,185.5,160.75,138.25,
119.25,140.25,183.5,165.75,185.5,150,
222.25,195.5,219.5,204,173,206,
111,104.5,129.75,68.75,85.25,109.75,
128,191.75,180,138.25,161.25,168.5,
225.75,256.25,246,225,237,196,
185,185.25,160,229,152.25,161,
224.75,220.5,182.25,209.75,219.75,171.25,
183.25,124.75,130.75,168.75,165,123.5,
29.75,89.25,67.75,73.25,60.75,66.75,
54,34.25,63.25,37,27.25,35,
174.25,195,157.25,159.5,198.5,187.75,
98,99,90.75,108,86.5,99.75,
174.75,193.5,193,194.5,163.25,187.5,
82.75,91.5,104.5,116.5,118.75,125.5,
128.75,76.25,85,109.25,107.75,95,
136.25,128,115,120,130.75,115.5,
240,240.25,257.5,268.5,277.75,252.5,
