6,10.5,16.5,10,
12.25,13.25,15.5,9.25,
5.75,17.5,5.25,14.75,
8.75,9.5,8.75,15,
6.5,13.75,15.75,7.75,
8,12.25,9.25,13.5,
8.5,6.25,20.5,14.5,
9.75,14.25,7,18.75,
13.5,13.5,12.75,7,
8.75,13.25,13.75,10.75,
17.75,9,8,15,
20.5,11.5,10,4.25,
3.5,13.5,7,14,
11,15.75,10.75,13.25,
13.75,7.25,21.5,8.75,
17,8,13.5,5.25,
17.5,7.75,8.75,16,
13,15.75,11.5,9.75,
14.25,12,9.5,13.75,
6.5,18.5,5.25,13.5,
6.75,17,13,11.25,
15,9,14.25,12,
4.5,9.5,14.5,11.5,
12,5.25,17.75,14.75,
12,10.75,13,6.25,
19.5,11.75,4.5,14.5,
9.75,11.5,8.5,16.75,
6.5,7.75,15.25,10.75,
13.25,11.25,15.5,10.25,
12.25,9.25,10,15.5,
