265.75,206.5,223.75,
246.75,261.5,278,
245,233,250.5,
230.75,210.75,269.75,
234.5,260.5,245,
283.25,239.5,178.75,
243.75,221.75,251.75,
218.25,249.25,267.5,
227,273,266.5,
277.75,257.5,242.5,
300.5,187,277.5,
284,243.25,231.5,
228.5,206.75,241.25,
216.25,227,264.75,
268.25,234.25,245.5,
229.25,214.25,278,
218.75,237.5,252.5,
259,289,229.75,
230.25,258.5,286.25,
244.5,269.25,245.5,
247,252.25,259,
226.75,297.25,264.25,
248,236.25,222,
267,261.75,227,
238.5,224,260.75,
258,255.75,250.5,
234.75,238.5,248.25,
232.75,254.75,267,
264,265,249.75,
248.25,281.25,222.75,
