403,331.5,384.75,341.75,298,363.5,
361.75,324.5,349.5,320.75,363.25,309.5,
354.25,291,361.5,334.25,370.75,376.5,
322.5,325.5,360.5,440.5,352.75,303.75,
356.25,319,308.5,372.5,395.5,324.25,
388.25,342.75,359,411.25,327,286.25,
379,323.5,341.75,364,336.75,355.25,
370.25,280.75,374.75,315.75,361.75,380.25,
368.25,364.25,331.5,355.5,360.75,270,
343,328.5,355.25,341.5,356,313.25,
316.75,337,323.25,320,360.5,399.75,
285,337.75,395,344.5,355,340,
375,357.75,350.5,346,328.5,388,
373.75,387.5,370.5,339.25,365,278.25,
369.75,331.5,324.5,359,362.5,320,
327,365.25,366,306.75,362.5,367,
389,359.75,355.5,313.5,364.75,330.25,
376.25,327.5,324.25,321.75,326,363.25,
354.5,405,284.25,325.75,294.75,376,
344,367,362.75,323,300.75,359,
339,354.75,316.25,356,313,382,
304.25,371,319.75,296.5,412.5,323.75,
361.25,335.25,360.25,353,357,343,
352,305.75,351.25,399.5,329.5,325.5,
396,393.75,346,323.75,315,325.25,
299.5,396.5,338.25,357.75,292,367.75,
322.25,372.25,342.5,353.5,321.75,382.25,
335.75,355.5,348.75,342.25,335.25,346.5,
368.25,276.75,348,333.75,399.5,311.75,
399.75,350.5,307.75,314,329.5,362.25,
