535,424.75,441.25,471,455.75,454.75,
443.25,450.25,467.5,438.75,472.25,431.5,
449.75,419.5,443.75,468,460.25,445,
422,417.25,439.25,468.75,453,445.25,
480,458.75,430.75,456.75,452.75,430.75,
457.75,404,471.75,444.25,426,383.5,
420.25,470.75,447,443.5,422.75,374.5,
401.5,470.25,427.25,364.5,401,429.25,
412,448.25,455.25,410,460.75,468.75,
440.25,415.75,444.75,412.5,448.75,425.75,
504.75,434,441.5,475,434.75,422.25,
444,408.75,436,461.75,414.75,424,
458.5,418,421.5,431,428.5,474.25,
488.5,450,408.25,445.5,440.25,428.75,
378.75,448.5,447.5,391,425.25,422.5,
391,428.25,399.75,451,411.5,429.5,
383.5,445.5,396.25,449,448.25,495.75,
406.25,382,467.5,439.75,413.5,401,
485,439,458.25,414.5,451,475,
436.75,374.75,453.25,474,404.25,433,
445,471.5,362.75,445,422.25,509,
448.5,457.25,447.75,420.75,432.75,436.75,
409.25,407.75,468.25,466,462,443,
455.75,452.75,444,438.75,426,400,
415,492.75,469.75,515,335.75,515,
489.75,465.25,448.75,388.25,412.25,455,
449.75,421,450,408.25,433.75,435,
410.25,398.75,395.75,438,457.75,363,
428.75,395.75,421.25,450.75,413.5,468.5,
472,472.25,466,431.75,397.25,432.75,
