245.75,216.25,192.25,
218.5,236.25,261.25,
213.25,232.5,205.75,
215.5,208.25,218.25,
262.75,181.75,223.75,
251.25,236.75,222.25,
228.25,211,237,
232,239,225.5,
236.5,226.5,230.25,
258,221.25,223.25,
190.5,189,240.75,
240,204,271.5,
203,265.75,210,
250.5,261.25,229.25,
217.5,237,227,
250.75,212,199.75,
176.5,236.5,234,
211.75,272.25,248.25,
226.5,211.75,241,
191.5,210.25,264,
208.25,186.5,248.25,
214.25,229,247.5,
275.5,219.5,188.25,
236.5,240.5,255.25,
269.25,214,202,
238.5,226.25,247.75,
244.75,270.5,236.25,
276,193.25,244.25,
232,243.75,243.25,
201.25,274.25,231.75,
