457.5,415.5,372,361,
319.5,407.25,351.75,373.5,
342.5,331,415.5,421.75,
399.75,380.25,394.5,371.5,
373,337,335.5,397.75,
374.5,335.25,395.25,421.5,
398.5,336.5,349.25,440.25,
374.25,398.75,392,408.25,
413.25,408.5,381,408.5,
381,429.5,377,366,
382.75,403.5,370,378.5,
415.25,374.25,389.75,370,
418.5,399.25,421,352,
398.25,344.5,391.75,352.25,
393.25,391.75,392.25,389,
380.5,422.5,403.25,391.25,
341.75,370.25,383,345,
422,369.25,379,391.75,
397.5,349.75,315.25,352,
325.5,433.25,402.25,367,
357.75,319,380,338,
343,335.75,326.25,351.75,
369.5,347.75,386.75,372.75,
392.25,383,335.25,352.75,
374.25,419.25,406.5,358.5,
331.25,408.25,370.5,380.25,
392.5,414.25,371,376,
348.5,386.75,360.25,378.75,
396,410,365,369.25,
356.25,345.75,384.25,394,
