458.25,479.25,434.5,444.75,445,450.75,394.5,530.75,451.25,
414.75,497.75,438.75,483.25,463.75,458.5,500.25,445.75,540.5,
437,505.5,447.25,504,416,494.25,482.5,466.5,433,
485.75,471.75,448.25,505.25,456.75,406.25,433.25,494,447.75,
448.25,462.25,376.75,422,511,537,512.5,521,461,
482,373.5,487.5,460,464.25,398.25,520,502,481.25,
462.75,484.5,490.75,532,486.75,423,453.5,412.75,424.5,
518.25,464.75,416,493,418.25,414.25,468.25,439.5,489.5,
474.25,399.5,450.25,469,545.25,433.75,444.75,456.25,411,
516,473.75,450.75,445.75,479.5,459.25,456.5,427.75,432.5,
432,419.75,480,492.75,463.25,504.25,448.75,416.5,503.25,
444.25,472,447.25,418.5,483.25,538.25,406.75,461.5,474.25,
425.5,393.75,432.75,489.25,498.25,422,512.5,436.5,494,
465,420.5,451.5,467.5,436.75,424.5,491,552.25,499.25,
456,508,488.25,476.5,440.75,443.75,407.25,442.75,465.75,
523.5,474.25,443.75,445.75,369.5,481.25,457,403.75,499,
527.75,521,520.5,444.75,414.25,423.5,467.25,518.25,417.75,
451.5,470,462.75,432.5,439.75,471,444,457,504.5,
501.25,533.75,469,440.25,523,428,480.25,455.5,451.25,
453,455,456.5,414.25,511,471.25,390.75,467.75,547.5,
482.25,536.5,443.5,503.75,421.75,502.75,438.75,526.25,445,
498,542.5,486.25,473.75,490,408.25,460.25,421,558.25,
491.75,459,460,520,513,441.75,485.25,405.75,442.25,
449.75,508.25,555.5,495.5,409.25,460.25,497.5,384,471.75,
453.25,461.5,451.25,469.75,427,422.75,490.5,489.75,471,
419.75,463.25,428,515.25,508,438.75,462.75,491.75,478.25,
435.75,419,482.5,405.5,464.25,498,456.75,451.25,528.25,
470.25,511,460.75,455.75,399.75,518.75,516.75,447.25,442.25,
462.25,454.25,445,520.75,405.75,476.75,455.5,475,459.5,
409.25,462.5,489,457.25,464.5,476,484.75,504,468.5,
