16.5,10.5,12.75,8.5,14.25,
10.5,5,19.25,15.75,12,
9.25,10.5,16.5,12.75,13.5,
6.5,14.25,13.75,15,13,
19.75,14.25,11.5,8.75,8.25,
13.75,11.5,18.25,12,7,
13,13,14.25,5.5,16.75,
7.75,4.5,13.75,20.75,15.75,
16,12.75,4.75,8.5,20.5,
11.5,14,9.5,11.5,16,
13.25,18.75,4.25,12.5,13.75,
6.25,11,17.5,10.5,17.25,
8.5,10.75,9.75,18.75,14.75,
9.75,18.25,10.75,6.5,17.25,
15.5,4.5,16.5,11.25,14.75,
9.5,17,16.25,8.5,11.25,
8.75,13.5,15.75,15.75,8.75,
22,12.75,11.75,6.25,9.75,
13.75,10.75,10.5,11.5,16,
12.5,13.5,1.5,19.75,15.25,
20.25,13.5,16.25,2.5,10,
4.75,10.5,19.5,9.5,18.25,
9.75,5.5,13.5,19.75,14,
13,3.5,12.75,11.75,21.5,
15.5,8.25,14.75,10.75,13.25,
14.75,12,8.75,10.75,16.25,
5.5,19.25,10,12.25,15.5,
13.75,15.25,15.25,8.5,9.75,
5.75,16.75,12.25,11,16.75,
12.25,10.25,12,9.25,18.75,
