480.25,449,577.75,505,532.75,530.75,515,559.5,492.25,567.25,
434.75,467.25,501.75,550.5,541.25,524.75,522.75,477,490.5,483.75,
503.25,457.25,554.5,531,437,537.5,556,514.25,472,482.75,
560,472.75,530.75,515.5,512.25,434.5,565.75,533.75,534.25,515.75,
472,565,524.25,521.25,527,437.75,499.25,521.5,489.75,482.25,
511.25,486.25,502.25,566,491.5,488.5,501,483,527.25,523,
524.75,541.75,554.5,480.75,505.75,539.25,525.25,570.75,427.5,474,
518,475.75,552.5,526,504.5,506.75,558.5,476.75,480.25,500,
520.5,535.25,483.5,477,493.75,492.5,537,521,512.75,545.25,
551.5,499.5,518.75,495.25,503.75,480.5,502.25,579.75,533,517.25,
500.75,501.5,497.75,523,540,500,530,507.25,516.75,514.5,
500.75,572.25,427.5,499,548.75,473.5,538.75,548.75,553.25,494.25,
557.25,573,445,535.25,502.25,503.25,512.5,567.75,559.25,507.5,
501.5,482.25,580.5,498.5,477.5,498.25,455.25,557.75,549.5,519.25,
527.25,518.25,463,560.25,532.5,524.25,513.25,535,493.75,513,
541.75,500,522.75,486.5,485.5,541.75,497,494.75,541.75,506.25,
474.5,524.75,545.5,559.25,530.75,521.5,504.25,527.5,507.25,560.25,
572.75,474.75,546.5,531,514.5,440.75,482.75,526.5,545,516.25,
511.75,577.25,522,441.5,516.5,492.5,521.25,556,491.25,502.5,
500.25,486.75,501.25,523.25,506,548.5,516.75,454.25,546,501,
586,555.5,524,454.25,536.25,456,522.5,530.5,485,465,
511,496.5,500.75,508.75,516.75,542.5,489.25,467.5,516.5,509,
393.75,545.5,535,503.75,595,488.5,551.25,548.75,517.75,535.5,
494,534,541.75,486.75,521,509.75,502.25,492.75,538,586.75,
545.75,499.75,486,512.25,532,555.5,539.75,446.25,482.75,577.25,
504,514.75,478,535.25,526.75,470.5,557.75,516.25,487.25,534,
533,443.5,535.75,538.25,518.75,483.5,510.25,510,469,546.5,
503,524.5,564.25,473.75,507.75,459.75,506,455.75,486.75,467.5,
466.25,478.5,540.25,543.75,532,508.25,549.75,527.5,461.75,477.25,
489.75,548,503,508,549.75,483,510.5,482.5,537.75,544.25,
