306.25,335.25,263.25,277,287.25,290.75,283.5,
295.5,294.5,296.5,284.5,294.25,291.5,313.25,
292,306.75,268.5,235.75,393.5,273.25,307,
322.75,318,291,297.25,320.75,272.25,240.75,
310,262.25,288.75,286.25,327.75,329.75,253,
290.5,250.25,314.75,295,356.75,297.5,271.5,
287.5,237.25,330.5,257.75,295,303.75,322.5,
284.5,271.75,289,277.5,333.5,260,321.75,
284.25,325.75,287.25,295.75,251.25,338.5,274.75,
287.5,286,298.75,354.75,264.75,292.25,314.5,
289.75,298.5,300.75,335,280.25,294.75,278.5,
291.5,332.5,292.5,314,259.75,265.5,305.25,
298,268,298,322,317,269,300.25,
309.5,291.75,258.5,305,337.5,268.25,314.75,
272.25,299.75,297,332.25,300.25,278,281,
318.75,276.25,263.5,268.75,302.25,311.75,301.75,
305.5,275.75,298.75,291,332,251.25,322,
366,260.75,286.25,263,284.5,298.25,290.75,
277.25,277.5,297.25,271.75,338,309,308,
280.75,286,301,352.25,304.5,310,243.75,
337.25,255.5,233.25,330.75,307.25,319.25,255.75,
295.75,268.25,318,311.5,290.75,298,264.5,
291.5,329.75,289.5,307.25,245.75,303.5,302.5,
272.5,265.25,307.5,374.5,315.75,284,246.75,
280.5,275.75,297,312.5,287,316,316.25,
359.25,286,287.25,286.75,251.75,291.25,286.75,
322.5,309.75,273.25,286.5,308.5,306.75,233.5,
263.5,293.25,321.5,329.25,280.25,269.75,309.5,
310.5,282,272.5,324.75,265.25,302,300,
255.5,277,293,284,319.25,306.75,314,
