275.25,359.25,246,352,262.75,275.75,
323,275.25,331.25,272.25,338.5,287.5,
293.5,310,301.25,245.5,317.5,281.75,
273,302.25,285,314,317.25,337.75,
315.75,268.75,257,308,296.25,320,
261,317.5,337.25,288.75,248,332,
250.75,294.25,305,294.5,297,312.75,
294.75,289.25,262,319,340.75,281,
276.25,248,310.25,318,306.25,333.5,
273.5,355.75,245,295.25,317,276.5,
274,288.5,322,288.5,299.25,277.25,
267,268.25,299.75,337,285.25,248,
268.25,354,289,246.75,292.75,285,
263.5,290.5,272.75,303.75,322,360.75,
306.25,288.75,314.25,348.75,289,227.25,
274.5,318.75,316.5,236,299.25,314.5,
304,279.25,345.5,299.5,273.75,266,
270.5,309.25,300.5,344.75,243,290.75,
311,236.25,287,310.75,349.25,315.25,
330.5,288.25,277,323.5,263.5,299.25,
314.75,263.25,302.75,273,332.5,257.75,
306,269,343,311,241,271.75,
287.5,289.25,321,284,327,269.75,
294.25,314.75,285.5,372.25,259.5,307.5,
341,293,290.75,312.25,241.5,225,
356.25,325,254.75,278.5,257,311,
334.25,279,313,293.25,306,327,
334.5,290.25,277,306,321.25,250,
276.25,303.25,285.25,294.5,255.5,322.75,
317.25,287.75,327.25,283.75,272.75,272.75,
