451,411,443.5,419.5,465.5,457.25,498,417.75,433.5,
458.5,474.5,463,460,403.5,454.25,457.5,416.25,444.75,
453.25,437.75,338.5,400.25,471.25,479,446.5,454,523.75,
447.25,422.25,439.5,457,416.75,455.25,435.75,444,484,
440,439.75,477.25,418.75,435,472,424.75,431.25,483.75,
408.75,399,413.5,511.75,416,390.75,465.5,424.75,458.25,
494.75,446.25,414,470,441.5,423.75,417.25,456.75,417.25,
434.75,457,466.5,455.25,437.5,486,475.75,404.75,435.25,
470.5,418.25,496.5,497.75,358.5,424.5,416.5,484.5,491.25,
416.25,457.75,516.5,438.75,412.25,451.75,498,460.25,393,
465,385.25,453,435.5,439,436,444.25,435.5,459,
485.25,451,441,426.75,454.5,473.25,431.5,487.25,441.75,
455.75,424.5,487,475.75,439.75,428.5,410,445.25,444.75,
502.5,521.5,444.25,345.75,392.5,486,451.75,465.25,454.5,
467.75,448,416.25,443.25,488.5,506,382.5,426.75,428.25,
478.25,461.5,462.5,439.5,453.25,431.75,464,408.75,454.75,
369,473.5,441.75,421,485.25,487.5,369,468.25,378,
483.5,410.75,491.25,514.75,432.25,386.75,377.25,456.25,479.75,
457.25,447.5,449.5,474.25,455,373,438.5,442,436.5,
482.25,432.5,411.5,436.5,448,436,407,485,408.25,
462.75,480.5,394.25,403.75,429.25,477.5,413.5,446.75,439.5,
469.75,412.75,441.75,525,433.25,442.25,415.75,437.75,456.25,
408.75,402,495.75,437.5,505,353.25,424.75,496.75,429.75,
523.5,472.75,477.5,407.75,384,421.5,478.25,407.75,489.5,
448.5,475.25,527.5,404.25,467.5,441.5,411.5,347.75,452,
464,396,482,496.5,406,443.75,439.75,395.25,434.5,
471.25,407,443.75,447.25,406,437,468,443.5,434.25,
444.25,468,440.25,400.5,465.75,462,439.5,434.75,390.75,
471.25,419.25,428.25,356.5,455.75,489.5,413.75,403.75,499.75,
461,410.5,451.75,499.25,429,435.25,415.5,486.75,447.25,
