275.75,268.75,263.5,
276.75,291,320.75,
212.25,258,280,
245.5,258.25,298.5,
290.25,289.75,305,
292.25,291.25,270.75,
285.25,253,286.5,
253,249.25,283.75,
253.75,259.75,292.75,
291.75,308.25,242.75,
240.25,343.75,315,
281,242.75,277.75,
263.25,215.75,279.5,
262.75,295.75,236.25,
270.5,279.5,275.5,
287.5,271.25,290.75,
283.25,262,289.5,
310.5,233,295.25,
308.5,260.75,223,
267,220.75,269.25,
274,303,324,
318.75,272.25,280.25,
271.5,310,313,
288.5,274.25,218.25,
301.75,308.25,295.75,
251.75,264.25,293.5,
282,282.5,238.75,
270.25,264.75,264.25,
239.5,316.5,241.5,
220.5,282.75,258.75,
