359.5,365.5,436.5,393.5,432,360.25,387.75,
345.75,381,400.75,353.5,392.25,392.75,384,
384,431.5,338.5,354,437.25,410,429.5,
386.25,426.25,340.5,448,360.75,404.75,368,
399.5,437,367.75,365,369.5,332.75,380.25,
332.5,341.5,421,383.25,369.5,457.25,376,
410,411.5,382.5,364,384.5,354,403.75,
393.25,416.5,417.5,373,443.25,348.5,365,
384,328.5,444.5,337.25,437,438,361.25,
342.75,362.25,400,344.25,399,418.75,427,
370.25,399.75,395.75,367,365.75,376.5,362.75,
367,415.25,361,390.75,392.75,423,384.75,
391.75,441.75,364.25,357.75,405.5,397.5,418.25,
386.75,407.75,437.25,350.25,344.75,417.5,397.75,
325.75,424.75,357.25,437.5,379.25,392.5,392.5,
302.25,457.5,346.25,358.75,425,404.25,392.5,
404.75,359.75,343.25,387,437,409,359.5,
386,407,453.75,422.75,296,376,356.5,
391.5,347,424.25,401.5,431.75,363.5,384.25,
442.25,424.75,421.75,339,392.25,369,390.75,
415.75,407.5,385.75,388.75,339.25,372,333,
403.75,413.25,384,374.75,371,344.25,376.25,
383.25,349.75,362.25,404.25,424.25,330.25,386.75,
353.25,432,423.75,358.5,384.5,421.25,384.25,
325.5,396,388.5,431.75,344,353,397,
390,442.25,358.75,439.75,340,404.5,356.75,
404.25,384.25,413.75,433,356.25,374.25,371.75,
419.25,389.75,379.75,410,414,350.5,373.5,
455,357.75,405,368,385.25,416,350.75,
403,422.75,389.25,454,368,356.25,380,
