342.5,307.25,309.25,361.75,311,351.5,403.75,
391.25,349,306.75,358.5,333.75,333.75,385.5,
342.5,377.25,345.75,290.5,320.75,389,340,
325.25,387.5,312.25,338.75,299.75,385.5,379.75,
336.25,288.5,334.75,366.25,381.5,361.5,364.25,
394.75,324,357.75,308.25,341,330.25,346.5,
341.5,399.5,369.25,334,333.75,351.5,327.25,
333.5,354,339.25,359.25,358,301.5,357,
343.75,354,370.75,311.5,324.5,331,343.25,
370,339.25,402.5,365.75,344.25,328.25,314.25,
329.5,363.75,331.5,345.5,338.25,367.25,345.5,
385.5,368.5,383,357,295.5,350.5,337.75,
353,306.75,325,311.75,367.5,308.25,392.5,
337.5,367.5,318,348.25,341,337.25,353.5,
337.75,415,345.75,327.25,315.75,320.5,344,
342.75,361.5,277.75,397.5,338,376.5,345.75,
352,393.5,312.25,332.75,303.75,289.5,398.25,
290.25,326.75,343.25,334.75,420.75,368.5,376,
285.25,343.5,383.75,368,321.75,311.75,432.5,
337.5,342,369.25,330.25,343.75,432.25,347.25,
364.75,294.75,346,290.25,403.75,351.25,385,
302.5,336,371,347.75,298,345.5,384.5,
295.5,371.75,340,317,454,335.75,327.25,
364.5,354,337,323.5,285.5,365.25,364,
409,317,288,350.5,378,407.5,366,
344.25,433.75,266,359.75,326,296,377,
329.25,341.5,371.75,312.25,335.75,333.75,422,
348,348,309.5,314.75,377.25,326.25,401.25,
385.25,344.75,304.25,369.25,348,313.25,415,
351.5,327.25,345.25,366,320,389.25,357.75,
