450,398.25,469,340.75,393.5,397.25,418.5,432.5,437,
390.75,380.25,383.75,450.5,437,415,422.25,394.5,505.5,
444.25,429.25,485.5,374.5,395.5,468,385.25,408.5,401.25,
429,431.75,363.5,418.75,445,405,473.75,404.5,435.75,
407.75,374.5,482,469.75,356.25,386.75,448.25,424.75,456.75,
422.5,457.25,370.5,445,402.5,404.75,417.5,489.25,379,
381.75,465,392.25,447.5,433.5,413.75,368,457.5,470,
456.75,460.5,449.25,337.5,475.5,364.5,367,411,465.25,
387.5,415.25,431.25,407.5,469.5,430.25,427,391.5,442.5,
377.75,441.5,426,395,417,424.5,441.75,454,447.5,
377,475,355.25,444,388.75,389.5,439,403,384.75,
477.25,379.75,503.5,354.25,431.25,388.5,417,402.75,444.75,
397,407.75,403,400.75,457,374.75,394.75,452.25,422.5,
443.75,398.75,395,372.75,423.25,442,366.75,475.5,431.5,
438,442.25,425,421.75,373.5,418.5,445,385.75,426.5,
411,406,387.5,409,426.5,452,360.5,459,416,
416,443.25,446.25,450.25,379.5,357.5,480.5,464.5,358.5,
373.25,525,402.5,397.5,451.5,356.75,389.25,425.75,449.75,
422.5,430.75,355,455,435.75,385,396.75,433.25,439.75,
383.5,403.25,395.5,432.75,452.75,429.25,413.25,393.25,464,
504.25,428,403.75,412.5,407,392.75,352,486,410.5,
455.25,443,467,391,376.75,412.75,373.25,396.5,409.5,
418,330,423.5,408.75,421.75,409,463.5,500.25,373.5,
383.75,369.25,331,347,460.75,404.75,478.75,507.25,432.25,
418,455.25,405.75,389.75,417.75,408,433.25,387.75,459.25,
401,397.25,435,341.5,430.25,440.25,447.75,426,406.5,
391.75,429.75,418.75,425.5,389.25,362.5,480.25,474,367.5,
475.25,454.75,398.5,445,402,457.75,451.75,417.75,308.5,
406.5,446.75,432.25,447.5,428.75,386.75,427,423.75,374.75,
412.75,341.5,449.25,419.25,434.5,442.5,430,435.75,429.25,
