18,20,33.75,22.25,
16.5,28.75,12.75,8.75,
45.5,33.5,11.5,21.25,
9,5.75,4,13.25,
90.75,96,115.5,88.75,
23.75,5.25,7.5,21.5,
21.25,10.75,22.5,15,
30.75,30.25,26.75,23.75,
35.25,43.75,32,45,
29,22.5,22.75,14.75,
22.75,24,9.5,23,
4.25,23.5,23.5,12.5,
26.25,13.25,18.25,24,
20,23.25,13.5,18.75,
66.75,101.75,59,90.25,
7.75,11.75,11.25,17.75,
39.25,41.75,52.25,42.5,
34.25,37.75,14.25,21.25,
23.5,29.5,33.25,26.5,
21.5,33.25,25.25,26.25,
12.75,8.25,11.5,6.75,
19.5,29.5,30.25,31.25,
23.5,29.5,29,25.5,
3.75,3.5,11.25,7.75,
21.75,16.25,25.25,13.75,
43.75,16.5,39.75,43.25,
5.25,3.5,4.5,6.5,
4.75,4.5,7.25,11.25,
23.5,11,19.5,19,
19,44.75,48.25,50.25,
