85.75,91,123.75,133.25,108.5,
118,89,103,102.5,109,
119.25,93.25,112.75,101,104.25,
76.5,129.5,102,103.5,94.25,
93,101.5,118,131.25,97.5,
106,96.25,117.5,92,108.25,
72,129,119,122,97.75,
104,141.5,101,98.75,99.25,
100,120.5,126.5,116.75,100.25,
97.25,93.75,95.5,121.75,102.5,
105,106,104.25,107.5,120.75,
119,100.25,107,69.75,90.5,
89.5,86.75,141.25,112.75,100,
81.75,121.75,95,105,127.25,
99.5,128.75,102.75,98.5,130.75,
103.5,92.5,104.75,118.25,114,
74.75,116.5,129,99.25,120.25,
112.25,135.25,106.25,86,105.75,
109,82.75,136.25,118,86.75,
89.25,109.75,128.25,101,113.5,
113.75,108.75,106.75,115.75,90.5,
106.25,99,105,103.5,98.25,
128.75,80.75,91.25,99,119.25,
111.75,64.75,123.5,119.75,130.5,
123,117,92.5,114.75,93.75,
89.75,126.5,125.25,68.75,127,
105.5,131.75,90.25,102,104.5,
94.25,108.75,107.5,91.5,156.5,
102.25,136.25,82.75,112,89.75,
127,100.75,108.25,87.75,112.25,
