181,239.75,250.5,230.75,223,228.25,
185.75,212.75,243.75,251,208.75,269.75,
211.75,216.75,215.25,244.75,215.25,242,
248.5,222.75,211,259,229.5,182.25,
222,248,255.75,278,197.75,171.5,
263.25,240.25,190.25,205.25,248.25,219.5,
237.75,194.25,248.5,213.75,225.5,234,
194,244.5,230.5,187.75,251.5,262.5,
220,203.75,212.5,223.25,251,237.25,
228.25,224.75,185.25,247.5,217.75,251.5,
193,229.25,263.75,249,241.25,163.75,
217.5,235,240.75,237.75,223,202.25,
249.5,241.5,215.5,241.5,223.25,194.25,
197.75,235.5,244,240.5,218.5,213.5,
212,228.25,214.25,198.75,246.75,255.75,
215.5,237.25,212.5,214.25,264,230.25,
224.75,251,248.25,231.75,179.75,206.25,
235,258.75,233.75,163,250.75,204,
225.75,234.75,211.5,233.75,235,212.25,
268.25,207,246,192.75,212.5,264,
227.25,223.5,215.75,201.5,253.75,254.5,
223.25,223.25,262.25,248,211.25,225.75,
202,248.25,217.25,239.75,218.5,204.75,
210,195.5,206.25,250.25,240.25,252.5,
236.25,197.75,245.25,221,225.75,235,
212.5,265.5,199.75,186.75,259.5,241.5,
211.75,222.25,225,216.25,239.75,251.5,
202.75,234.5,241.5,257.5,204.75,222.75,
257.25,231.25,200.25,202.25,226.25,235,
205.75,229,176,261,233,262.75,
