241.5,224,268.25,231.5,215.25,
228.75,243,264.75,254,199.5,
239.25,221,215.75,248.75,220.5,
227.75,194.25,225.5,218.5,295.5,
217.25,194,264.75,209.25,256.5,
268.5,262.5,210,227.75,201.75,
200.75,247,201.25,191.5,245,
212,201,241.75,255.75,258,
192.5,228.75,231.25,251.5,241,
176.5,302.25,194.25,251,232,
215,239,193,246.25,251.25,
183.25,251.5,198.5,221.5,271.25,
244.25,242.75,193,179.75,268.5,
231.75,216.75,269.5,199.75,254,
220.5,189,232,215,303.75,
194.75,230.25,248.25,260.75,247.5,
206,231.5,237.5,245.25,255.5,
228.5,245.5,176.25,246.75,214,
252.25,212.75,198.25,213.5,212.75,
202,223.75,237.75,202.75,265,
211.25,255.75,229.5,200.5,266.25,
238.75,250,205,252.5,236.5,
242.25,216.25,225.5,263.25,216.25,
217.75,219.5,225.5,212.5,235.5,
237.75,241,191.5,243,238.75,
215.5,232,233.25,231.75,231,
266.5,235,224,250.75,200,
217.25,273.25,200,244.75,192.75,
235.5,261.5,253,218.75,203.5,
218,219.75,258,241.5,245.75,
