410,360.5,346.25,390.5,358.25,385.75,366.25,418.75,
334.25,428,428.5,362.25,396.75,381.25,440,380,
374.5,387.75,357,372.5,418.75,373.25,375.5,355.5,
378.25,377.25,426.25,396.5,393.25,331.75,397,380.75,
431.75,359.75,475.75,435.5,316,320.75,332.75,406.5,
429.25,409.25,391.75,343.75,392.25,375.5,369.25,381.25,
391,352.5,413,379.75,294.25,421,385,451.5,
356.75,452.75,358.25,333,404.75,392,348.25,418,
396.25,380.75,439.75,348.5,394.5,405,413.5,337.5,
359.5,419,372.25,397,380.75,426,371,346.75,
334.25,425.75,420.75,373.75,374.5,386,374,359.25,
413.75,351.5,389.5,378.25,385.75,420.25,407.25,369.25,
379,386.5,412,345,392.25,396.5,417.75,354.25,
408.25,386.75,349.5,455.5,356.75,388.25,353.75,379.75,
414.5,418,371.25,398.25,384,367,393,440.5,
441,350,466,399,352.5,366,382.75,380.25,
409,393.5,382.5,318,377.25,427.25,368.25,380.25,
403.75,380.25,418,324.25,382.75,357.75,442.75,411.5,
407,392.5,354.5,352.5,371.75,365,433.25,372.25,
316.5,358.25,393.25,343.5,400,452.5,367.75,354.25,
410,406,434.75,388.5,382.25,362.75,353.75,364.5,
374.5,378.5,378.5,442.25,317.25,385,408,412.25,
344.25,386.75,405.5,411.25,425.5,391,364.75,384,
386,450,354,389.75,376.25,449.75,360.25,398.25,
428,356.25,394.25,330,365.5,383,381.75,438,
377.75,358,416.25,329.75,416.75,471.75,387,397.75,
372.25,365,416.25,370,424,337.25,391.25,391,
437,363.75,390.5,386,382.75,329.25,420.75,410.75,
397.5,420.25,384.75,411.75,376.5,362.75,385.25,349,
436,360.75,394.25,307.25,403,344.5,434.75,396.75,
