323.75,258.5,381,
317.75,330.75,324.75,
286,312.75,282,
306.5,301.75,321,
319.5,312.25,295,
281,363.75,344,
248.75,299.5,279.5,
326.5,256,330.5,
251.75,320.5,314,
277.75,346.75,263.75,
316.25,285.25,299.25,
236.5,302.25,250.5,
305,334.5,322.5,
344.75,266.75,297.25,
226.75,320,296.5,
330,327,315.5,
259,312.5,263.5,
311,298,291.25,
273.5,349.5,346.25,
263.75,248,299,
260.75,251,251.75,
338.25,258.25,295.75,
298,323.5,312.5,
302.75,339.25,342.75,
303,351,347.25,
338.5,251.25,299.5,
234.25,288,292,
310.5,311.25,311,
281.75,264,277,
318,328.25,331.75,
