414.5,383.75,441.25,424,400,416.5,410.25,403.25,
412.75,416.75,366.75,479.75,420.5,394,415.75,376.25,
415.25,388.75,402.25,453.75,443.75,401,397.5,473.75,
416.5,355.75,407.25,485,402.25,423.5,413.5,423.75,
485,397,336.75,416,409.5,410.25,425.75,454.5,
418.25,356.5,412.5,458.5,448.5,472.5,387.5,318.5,
443.75,437.25,390.25,377.75,473.25,432.75,413,459.5,
369.75,442.25,540.25,360.5,380.75,425.25,430.25,394.75,
426.5,432,465.25,393.25,446.5,415.75,445,345.5,
387,410.25,417,393.5,392.5,421.75,455.5,489.5,
434,458.25,481.75,392,396.75,379.5,381.5,431.5,
402.5,359.25,467,454.75,424.25,466.75,422,471,
407.25,384.5,358.75,440.5,446.75,428.5,417.5,409.25,
374.25,392.5,512.25,379.25,376.25,493.5,389,431,
430.25,368.75,470.5,449.5,482.75,407.75,396.5,406,
446,402.75,433.5,397.25,376.25,454,372.5,402,
372,485.25,473,479.25,411.75,379.75,418.25,402.5,
455,445,441,399.75,373.25,410.25,393.75,436.75,
342.25,432,409.75,408.75,371.5,464.5,431.75,425.5,
406.25,441.25,384,378.5,501.5,430.75,445,457.25,
414.5,457.25,413,460,458.5,415.25,415,458.75,
385.25,444.75,430.75,379.5,488.5,373.25,416,450.5,
422.75,425,384,384.5,424,405,475.5,402,
423.75,468.75,430.5,369.5,375.75,365.5,431.25,405.5,
396.75,393.25,349.25,412.75,390.25,378.25,431.5,503.5,
466.25,364.75,446.25,407.25,441.25,464,381.75,396,
450.75,395,452.75,424.75,403.25,453.5,463.25,399.25,
375,443,445.75,460.75,374.5,387.25,427.5,410.25,
430.75,498.5,375.75,435,444.75,406.75,417.5,423.5,
427.25,372,449.75,372.25,459.5,383.25,378.25,442,
