558.5,391.75,529,536.5,379.5,489.75,460.75,561.25,506.75,
438.25,546.75,560.25,500.5,497.5,466.75,507.25,443.5,478.25,
444.75,568,497.75,513.75,461,471.5,392.25,446,491,
498,455.75,500.5,536,498.75,409.75,557.75,433.75,500.5,
512.75,467.5,479,476,417.5,445.25,530,535.25,468.25,
451.75,518.75,498.5,476.5,508.5,474,461,459.25,472,
493.25,448.25,495.75,532,429,442,470,531.5,525.75,
548.5,470.25,449.75,481.5,448.5,481.25,484.75,505.25,414.25,
457.25,512.75,409,446.75,499.25,536.25,529.75,466.5,530,
505.25,469,490.75,479.25,468.75,490.75,499,445,459.25,
472.25,459,464.75,479.75,527.25,456.25,405.5,435.75,529.75,
475.75,481.75,467.5,413.75,501.25,500.5,494.75,516.75,446.75,
471,512.25,481.75,501.5,457.5,513.5,477.25,476.25,480.75,
519,479.5,515.5,440.75,491.25,428.5,505.5,455.25,427.25,
475.25,500.25,458.75,486.25,522.5,545,461.5,437.75,515.25,
526.5,532.75,453,472.75,422.5,486.75,439.5,416.5,508.25,
435.5,538.25,484.25,529.5,486,423.25,474,495.25,452.75,
517,509,520.5,430.75,461.5,423.75,520.5,482.75,489.5,
518.75,474,469.25,448,442.5,409.75,506,481.25,538.75,
463,547.25,469.25,421,534,485.5,429.25,492.75,507.25,
438,430.75,506.5,499.25,496,425.75,524.75,519.5,488.25,
494.75,431,473.25,530.25,456,519,424.75,490.25,524,
480.25,508.25,470.25,443.5,478.5,421.75,486.25,472.5,508.75,
511.75,455.5,459.5,494.75,476.5,433,491,511.25,454,
486.75,470,428,553,472.25,496.25,437.5,529.25,470.5,
494.25,556,506,530,564.25,447,483.75,472.75,529.75,
439.75,505.25,492.75,438,500.75,432,531,523.5,474,
463.25,565.25,518.5,514.5,420.75,407.75,491.25,502.25,478.5,
556.25,482.25,482.75,472.75,449.5,399.5,507.5,478.25,491.75,
420,469,492.5,483.75,539.25,538.5,500.5,429.5,472.5,
