385.75,417,418,403.5,377,
398.75,327.25,397.75,431.5,420.75,
422.75,412.25,430.75,398.5,464.75,
412,412,411.75,420,368.5,
442,437.25,401.5,383.25,419.5,
435.25,413,400.25,406.75,439.5,
434,443.75,346.75,394.25,428.75,
376.75,446.25,469.25,464.5,374.25,
381.25,354.25,406.5,452,433.5,
445.25,422,434.5,390,416.25,
421,471.75,465,410.25,416.75,
435.75,460.25,396.25,424.5,399.75,
423.25,449,421,371.5,378.5,
407.75,418.5,444,419,463.25,
372.75,443.5,403.25,395.5,397.5,
406.75,422,448.75,407.5,471.75,
421,392.75,391,447.75,443.75,
450,347.5,386.5,449.25,426.5,
441,385.75,454.75,412.75,432.5,
416.25,393.5,399,460.25,396.75,
402.75,435,430,437.25,381.25,
441,388.75,389.25,413,439.75,
449.5,427.75,415.75,413,439,
403,430,430.75,442.75,421.25,
442.25,435.25,418.75,401.75,374.5,
337.25,388.75,321.5,390.25,393.5,
486.75,372.75,405.75,413,399.75,
426,424.25,368,461,373.75,
362.25,437,362.5,458.5,474.25,
438.5,384,395,411,441,
